Timestamp,"This online survey company is hosted by a web survey company located in the USA and as such is subject to U.S. laws, in particular, the US Patriot Act which allows authorities access to the records of internet service providers. If you choose to participate in the survey, you understand that your responses to the survey questions will be stored and accessed in the USA. The security and privacy policy for the web survey company can be found at the following link : https://policies.google.com/privacy",What is your academic background?,How many years of coding experience do you have prior to using Python/R?,Do you enjoy/love coding?,Which programming language did you learn first?,Which of the following programming languages do you prefer more?,What is your favorite data science task?,How many programming languages do you use actively?
4/9/2018 13:30:03,I agree,Business,Less than 1,Yes,SAS,Python,Data visualization,3
4/9/2018 13:30:06,I agree,Electrical Engineering,Less than 1,Yes,C,Python,Machine Learning,3
4/9/2018 13:45:19,I agree,Geography,Less than 1,Indifferent,R,R,Data visualization,2
4/9/2018 13:53:20,I agree,Mathematics / Statistics,1 to 5,Indifferent,Java,Python,Machine Learning,2
4/9/2018 14:05:16,I agree,Mathematics / Statistics,Less than 1,Indifferent,Pascal,R,Data wrangling,2
4/9/2018 14:05:51,I agree,Engineering,1 to 5,Yes,Java,R,Data visualization,2
4/9/2018 14:07:04,I agree,Biochemistry,Less than 1,Yes,C,R,Data wrangling,2
4/9/2018 14:08:43,I agree,Mathematics / Statistics,1 to 5,Yes,Python,Python,Machine Learning,2
4/9/2018 14:09:00,I agree,Mathematics / Statistics,1 to 5,Indifferent,Python,R,Data visualization,2
4/9/2018 14:09:13,I agree,Physics,1 to 5,Yes,Python,Python,Machine Learning,3
4/9/2018 14:10:38,I agree,Business,1 to 5,Yes,Python,Python,Machine Learning,2
4/9/2018 14:11:59,I agree,Medicine,Less than 1,Yes,Python,Python,Machine Learning,2
4/9/2018 14:16:11,I agree,geology,1 to 5,Yes,Matlab,R,Data visualization,2
4/9/2018 14:16:15,I agree,Biology,Less than 1,Indifferent,Matlab,R,Data visualization,2
4/9/2018 14:17:19,I agree,Neuroscience,More than 5,Yes,Turing,R,Data visualization,3
4/9/2018 14:19:40,I agree,Biology,Less than 1,Yes,Python,Python,Data wrangling,2
4/9/2018 14:19:52,I agree,Business,Less than 1,No,Python,R,Data visualization,2
4/9/2018 14:20:14,I agree,Business,Less than 1,Yes,Logo,R,Machine Learning,2
4/9/2018 14:21:42,I agree,engineering + business,1 to 5,Yes,visual basic,Python,Machine Learning,3
4/9/2018 14:21:51,I agree,Business,Less than 1,No,SAS,R,Data visualization,2
4/9/2018 14:21:52,I agree,Business,Less than 1,Yes,SAS,R,Data wrangling,2
4/9/2018 14:21:56,I agree,Mathematics / Statistics,1 to 5,No,C,R,Data visualization,2
4/9/2018 14:22:23,I agree,Mathematics / Statistics,1 to 5,Indifferent,R,R,Data visualization,3
4/9/2018 14:23:28,I agree,Mathematics / Statistics,Less than 1,No,Python,Python,Data wrangling,2
4/9/2018 14:23:46,I agree,Electronics Engineering,Less than 1,Indifferent,C,Python,Machine Learning,3
4/9/2018 14:24:05,I agree,Physics,1 to 5,Yes,C,Python,Machine Learning,3
4/9/2018 14:24:57,I agree,Computer Science / Computer Engineering,1 to 5,Yes,C,Python,Machine Learning,2
4/9/2018 14:25:01,I agree,Mathematics / Statistics,Less than 1,Yes,Java,R,Machine Learning,2
4/9/2018 14:25:53,I agree,eng,1 to 5,Indifferent,C,Python,Machine Learning,5 or more
4/9/2018 14:27:11,I agree,Economics,1 to 5,Yes,R,R,Machine Learning,2
4/9/2018 14:27:14,I agree,Engineering,1 to 5,Indifferent,C,R,Data wrangling,3
4/9/2018 14:27:47,I agree,Electronics,1 to 5,Yes,C,Python,Machine Learning,2
4/9/2018 14:28:01,I agree,biophysics,1 to 5,Yes,Matlab,Python,Machine Learning,3
4/9/2018 14:29:57,I agree,Engineering,1 to 5,Yes,C,Python,Machine Learning,2
4/9/2018 14:30:05,I agree,Mathematics / Statistics,1 to 5,Indifferent,Python,Python,Data visualization,2
4/9/2018 14:30:33,I agree,Computer Science / Computer Engineering,1 to 5,Indifferent,Java,R,Data visualization,2
4/9/2018 14:30:42,I agree,Computer Science / Computer Engineering,Less than 1,Indifferent,Matlab,Python,Data wrangling,4
4/9/2018 14:30:44,I agree,Computer Science / Computer Engineering,1 to 5,Yes,C,Python,Machine Learning,2
4/9/2018 14:30:58,I agree,Business,Less than 1,Yes,R,R,Data wrangling,2
4/9/2018 14:31:10,I agree,Computer Science / Computer Engineering,1 to 5,Yes,Java,R,Data visualization,3
4/9/2018 14:33:20,I agree,Engineering,Less than 1,Indifferent,Matlab,R,Machine Learning,2
4/9/2018 14:34:08,I agree,Political Science/Economics/Finance,1 to 5,Yes,Python,Python,Machine Learning,3
4/9/2018 14:34:10,I agree,Earth Sciences,Less than 1,Yes,R,R,Machine Learning,2
4/9/2018 14:34:43,I agree,Life Sciences,1 to 5,Yes,R,Python,Data visualization,2
4/9/2018 14:40:45,I agree,finance,Less than 1,Yes,Python,Python,Machine Learning,2
4/9/2018 14:42:08,I agree,Computer Science / Computer Engineering,More than 5,Yes,c#,Python,Machine Learning,4
4/9/2018 14:42:37,I agree,Biochemistry,1 to 5,Yes,Python,Python,Machine Learning,3
4/9/2018 14:43:16,I agree,economics,Less than 1,Yes,sql,Python,Data wrangling,2
4/9/2018 14:43:39,I agree,Physics,1 to 5,Yes,Matlab,Python,Machine Learning,3
4/9/2018 15:07:00,I agree,Both Computer Science & Mathematics.,1 to 5,Yes,BASIC,Python,Data visualization,5 or more
4/9/2018 16:04:46,I agree,Geological Engineering,1 to 5,Yes,Pascal,Python,Data wrangling,4
4/9/2018 16:05:14,I agree,Computer Science / Computer Engineering,More than 5,Yes,basic,Python,Machine Learning,4
4/9/2018 16:33:02,I agree,Computer Science / Computer Engineering,1 to 5,Yes,VBScript/Html/JavaScript,Python,Machine Learning,5 or more
4/9/2018 16:38:20,I agree,Computer Science / Computer Engineering,More than 5,Yes,C,Python,Machine Learning,5 or more
4/9/2018 16:47:59,I agree,Computer Science / Computer Engineering,1 to 5,Yes,C,Python,Machine Learning,5 or more
4/9/2018 16:58:24,I agree,Mathematics / Statistics,More than 5,Yes,Python,Python,Machine Learning,2
4/9/2018 17:41:12,I agree,Computer Science / Computer Engineering,1 to 5,Yes,Python,Python,Machine Learning,1
4/9/2018 18:01:18,I agree,Computer Science / Computer Engineering,1 to 5,Yes,Java,Python,Machine Learning,2
4/9/2018 19:07:20,I agree,Economics,1 to 5,Yes,Java,Python,Machine Learning,3
4/9/2018 19:29:31,I agree,Computer Science / Computer Engineering,Less than 1,Yes,C,Python,Machine Learning,1
4/9/2018 19:44:07,I agree,Mathematics / Statistics,More than 5,Yes,Actionscript 2.0,Python,Machine Learning,5 or more
4/9/2018 19:46:19,I agree,Computer Science / Computer Engineering,1 to 5,Yes,Python,Python,Machine Learning,2
4/9/2018 19:46:27,I agree,Mathematics / Statistics,Less than 1,Indifferent,Matlab,Python,Data wrangling,3
